Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
Paint the Town Red,Doja Cat,"August 4, 2023",Hip-hop,3:51,"Kemosabe, RCA",,"Earl on the Beat, Rubin, Jean-Baptiste, DJ Replay",Amala Zandile Dlamini,"Burt Bacharach, Hal David, Isaac Earl Bynum, Jean-Baptiste Kouame, Karl Rubin, Ryan Buendia",04 08 2023
Panda,Desiigner,"December 15, 2015","Hip hop, trap",4:10,"GOOD, Def Jam","Sidney Selby III, Adnan Khan",Menace,,,15 12 2015
Papa Don't Preach,Madonna,"June 11, 1986",Dance-pop,4:29,"Sire, Warner Bros.",,"Madonna, Stephen Bray","Elliot, Madonna",Brian Elliot,11 06 1986
Papa Was a Rollin' Stone,the Undisputed Truth,"May 9, 1972",Soul,3:25,Gordy,"Norman Whitfield, Barrett Strong",Norman Whitfield,,,09 05 1972
Paperback Writer,the Beatles,30 May 1966,"Hard rock, power pop, psychedelic rock",2:16,"Capitol, (US), Parlophone, (UK)",Lennon–McCartney,George Martin,,,30 May 1966
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock","January 25, 2011",Hip house,4:23,"will.i.am, Cherrytree, Interscope, Panther","David Listenbee, Stefan Gordy, Skyler Gordy, Peter Schroeder","GoonRock, Redfoo",,,25 01 2011
Part of Me,Katy Perry,"February 13, 2012","Dance-pop, power pop, electropop",3:35,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee","Dr. Luke, Max Martin, Cirkut",,,13 02 2012
Part-Time Lover,Stevie Wonder,"August 24, 1985","Synth-pop, R&B, soul",4:12,Tamla,Stevie Wonder,Stevie Wonder,,,24 08 1985
Peaches,"Justin Bieber, Daniel Caesar, Giveon","March 19, 2021","Pop, R&B, pop soul",3:18,Def Jam,"Justin Bieber, Ashton Simmonds, Giveon Evans, Bernard Harvey, Luis Martinez, Jr, Andrew Wotman, Louis Bell, Matthew Sean Leon, Felisha King-Harvey, Aaron Simmonds, Keavan Yazdani","Harv, Shndo",,,19 03 2021
Penny Lane,the Beatles,13 February 1967,"Psychedelic pop, progressive pop, baroque pop",3:03,"Parlophone, (UK), Capitol, (US)",Lennon–McCartney,George Martin,,,13 February 1967
People Got to Be Free,the Rascals,"July 1, 1968",Blue-eyed soul,3:01,Atlantic,"Felix Cavaliere, Eddie Brigati","The Rascals, with, Arif Mardin",,,01 07 1968
Peppermint Twist,Joey Dee and the Starliters,1961,Rock and roll,4:05,Roulette,"Joey Dee, Henry Glover",,,,1961
Perfect,Ed Sheeran,26 September 2017,Pop,4:23,"Asylum, Atlantic",Ed Sheeran,"Ed Sheeran, Will Hicks",,,26 September 2017
Permission to Dance,BTS,"July 9, 2021",Dance-pop,3:07,"Big Hit, Sony","Ed Sheeran, Johnny McDaid, Steve Mac, Jenna Andrews","Steve Mac, Jenna Andrews, Stephen Kirk",,,09 07 2021
Philadelphia Freedom,Elton John Band,28 February 1975,"Philly soul, pop, disco",5:385,"MCA, (US), DJM, (UK)","Elton John, Bernie Taupin",Gus Dudgeon,,,28 February 1975
Photograph,Ringo Starr,24 September 1973,"Rock, pop",4:00,Apple,"Richard Starkey, George Harrison",Richard Perry,,,24 September 1973
Physical,Olivia Newton-John,28 September 1981,"Dance-pop, post-disco",3:44,"EMI, (UK), MCA, (US)","Steve Kipner, Terry Shaddick",John Farrar,,,28 September 1981
Pick Up the Pieces,Average White Band,July 1974,"Funk, jazz-funk, R&B",3:59,Atlantic,"Roger Ball, Malcolm Duncan, Alan Gorrie, Onnie McIntyre, Hamish Stuart, Robbie McIntosh",Arif Mardin,,,July 1974
Pillowtalk,Zayn,29 January 2016,"Alternative R&B, electronic",3:23,RCA,"Zayn Malik, Levi Lennox, Anthony Hannides, Michael Hannides, Joe Garrett",Levi Lennox,,,29 January 2016
Play That Funky Music,Wild Cherry,April 1976,"Funk rock, R&B",5:00,Epic,Rob Parissi,Rob Parissi,,,April 1976
Please Don't Go,KC and the Sunshine Band,"July 12, 1979","Soul, R&B",3:43,TK,"Harry Wayne Casey, Richard Finch",Harry Wayne Casey / Richard Finch,,,12 07 1979
Please Mr. Postman,the Marvelettes,"August 21, 1961","Pop, soul, doo-wop",2:31,Tamla,"Georgia Dobbins, William Garrett, Brianbert, Brian Holland, Robert Bateman",Brianbert,,,21 08 1961
Please Please Please,Sabrina Carpenter,"June 6, 2024","Country pop, yacht rock",3:06,Island,"Sabrina Carpenter, Amy Allen, Jack Antonoff",Jack Antonoff,,,06 06 2024
Poker Face,Lady Gaga,"September 23, 2008","Synth-pop, dance-pop",3:58,"Streamline, KonLive, Cherrytree, Interscope","Stefani Germanotta, Nadir Khayat",RedOne,,,23 09 2008
Pony Time,Chubby Checker,January 1961,R&B,2:27,"Parkway, 818","Don Covay, John Berry",,,,January 1961
Poor Little Fool,Ricky Nelson,"June 23, 1958","Country, rock, doo-wop",2:32,"Imperial, ",Sharon Sheeley,"Ricky Nelson, , , Ozzie Nelson, , , Jimmie Haskell",,,23 06 1958
Poor Side of Town,Johnny Rivers,August 1966,"Baroque pop, orchestral pop",3:48,Imperial,"Johnny Rivers, Lou Adler",Lou Adler,,,August 1966
Pop Muzik,M,16 March 1979,"New wave, art pop, synth-pop, disco",3:21,"MCA, EMI, Sire",Robin Scott,Robin Scott,,,16 March 1979
Positions,Ariana Grande,"October 23, 2020","Pop, R&B",2:52,Republic,,"London on da Track, Tommy Brown, Mr. Franks","Ariana Grande, Nija Charles, Angelina Barrett","Brian Vincent Bates, Tommy Brown, Nija Charles, Steven Franks, London Holmes, James Jarvis",23 10 2020
Praying for Time,George Michael,13 August 1990,Pop,4:41,Epic,George Michael,George Michael,,,13 August 1990
Private Eyes,Daryl Hall & John Oates,August 1981,"Pop, blue-eyed soul",3:29,RCA Records,"Warren Pash, Sara Allen, Janna Allen, and Daryl Hall.","Daryl Hall, John Oates, , Neil Kernon",,,August 1981
Promiscuous,"Nelly Furtado, Timbaland","April 25, 2006","Electropop, dance-pop, hip hop",4:02,"Geffen, MMG","Timothy, Attitude, Clayton, Tim Mosley, Nelly Furtado, Nate Hills","Timbaland, Danja",,,25 04 2006
Psycho,"Post Malone, Ty Dolla $ign","February 23, 2018",Hip hop,3:413,Republic,"Austin Post, Tyrone Griffin, Louis Bell","Post Malone, Louis Bell",,,23 02 2018
Quarter to Three,Gary U.S. Bonds,May 1961,"R&B, Rock & Roll",2:31,Legrand Records,"Gene Barge, Frank J, Guida, Joseph F, Royster, Gary Anderson",Frank J. Guida,,,May 1961
Rag Doll,The Four Seasons,June 1964,"Pop rock, doo-wop, R&B",2:54,Philips Records,"Bob Crewe, Bob Gaudio",Bob Crewe,,,June 1964
Raindrops Keep Fallin' on My Head,B. J. Thomas,October 1969,"Pop, soft rock",3:02,Scepter,"Burt Bacharach, Hal David","Burt Bacharach, Hal David",,,October 1969
Rain on Me,"Lady Gaga, Ariana Grande","May 22, 2020","House, dance-pop, disco",3:02,Interscope,"Lady Gaga, BloodPop, Ariana Grande, Matthew Burns, Nija Charles, Rami Yacoub, Martin Bresso, Alexander Ridha","BloodPop, Burns",,,22 05 2020
Raise Your Glass,Pink,"October 5, 2010",Pop rock,3:23,LaFace,"Alecia Moore, Max Martin, Johan Schuster","Max Martin, Shellback",,,05 10 2010
Rapstar,Polo G,"April 9, 2021",Trap,2:45,Columbia,"Taurus Bartlett, Einer Bankz, Alexander Wu","Einer Bankz, Synco",,,09 04 2021
Rapture,Blondie,"January 12, 1981","New wave, hip hop, pop, post-disco, rap rock",6:31,Chrysalis,"Debbie Harry, Chris Stein",Mike Chapman,,,12 01 1981
Reach Out I'll Be There,Four Tops,"August 18, 1966",Soul,3:01,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier",,,18 08 1966
Reason to Believe,Rod Stewart,July 1971,,4:10,Mercury,Tim Hardin,Rod Stewart,,,July 1971
Red Red Wine,Neil Diamond,1967,"Soft rock, folk rock",2:42,Bang,Neil Diamond,"Jeff Barry, Ellie Greenwich",,,1967
Release Me,Wilson Phillips,June 1990,"Pop, easy listening",4:56,SBK,Wilson Phillips,Glen Ballard,,,June 1990
Respect,Otis Redding,1965,Soul,2:05,Volt,Otis Redding,Steve Cropper,,,1965
Reunited,Peaches & Herb,March 1979,"R&B, soft rock, disco, smooth soul",5:46,Polydor,"Dino Fekaris, Freddie Perren",Freddie Perren,,,March 1979
Rhinestone Cowboy,Glen Campbell,"May 26, 1975","Country, symphonic pop",3:15,Capitol,Larry Weiss,"Dennis Lambert, , , Brian Potter",,,26 05 1975
Rich Girl,Daryl Hall & John Oates,January 1977,"Rock, Philadelphia soul, blue-eyed soul, pop",2:23,RCA Victor,Daryl Hall,Christopher Bond,,,January 1977
Rich Men North of Richmond,Oliver Anthony Music,"August 8, 2023",Country,3:07,Self-released,Oliver Anthony,Oliver Anthony,,,08 08 2023
Ridin',"Chamillionaire, Krayzie Bone","November 12, 2005",Hip hop,5:024,"Universal, Chamillitary","Hakeem Seriki, Juan Salinas, Oscar Salinas, Anthony Henderson",Play-N-Skillz,,,12 11 2005
Right Here Waiting,Richard Marx,"June 29, 1989",Soft rock,4:06,EMI,"Richard Marx, Bruce Gaitsch","Richard Marx, David Cole",,,29 06 1989
Right Round,"Flo Rida, Kesha","January 27, 2009","Pop-rap, EDM, electropop",3:27,"Poe Boy, Atlantic","Flo Rida, Dr, Luke, Kool Kojak, DJ Frank E, Philip Lawrence, Bruno Mars, Aaron Bay-Schuck, Pete Burns, Steve Coy, Wayne Hussey, Tim Lever, Mike Percy","Dr. Luke, Kool Kojak",,,27 01 2009
Ringo,Lorne Greene,October 1964,Country,3:14,RCA Victor,"Don Robertson, Hal Blair",,,,October 1964
Ring My Bell,Anita Ward,1979,"Disco, dance",4:28,"Juana Records, (through, TK, )",Frederick Knight,Frederick Knight,,,1979
Rise,Herb Alpert,"July 20, 1979","Jazz-funk, disco",7:40,A&M,"Andy Armer, Randy Alpert","Herb Alpert, , Randy Alpert",,,20 07 1979
Roar,Katy Perry,"August 10, 2013",Power pop,3:43,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Bonnie McKee, Henry Walter","Dr. Luke, Max Martin, Cirkut",,,10 08 2013
Rockin' Around the Christmas Tree,Brenda Lee,"November 24, 1958","Rockabilly, Christmas",2:02,"Decca, 9-30776",Johnny Marks,Owen Bradley,,,24 11 1958
Rockstar,"DaBaby, Roddy Ricch","April 17, 2020","Hip hop, trap",3:01,"Interscope, SCMG","Jonathan Kirk, Rodrick Moore Jr, Ross Portaro IV",SethInTheKitchen,,,17 04 2020
Rockstar,"Post Malone, 21 Savage","September 15, 2017",Trap,3:38,Republic,"Austin Post, Shayaa Abraham-Joseph, Louis Bell, Olufunmibi Awoshiley, Carl Rosen, Jo-Vaughn Scott","Tank God, Louis Bell",,,15 09 2017
Rock Me Amadeus,Falco,May 1985,"Neue Deutsche Welle, synth-pop, dance-pop, hip hop",3:22,A&M,"Falco, Rob Bolland, Ferdi Bolland",Bolland & Bolland,,,May 1985
Rock Me Gently,Andy Kim,"June 22, 1974","Pop rock, proto-disco",3:24,Capitol Records,Andy Kim,Andy Kim,,,22 06 1974
Rock'n Me,Steve Miller Band,August 1976,"Pop rock, rock",3:05,Capitol,Steve Miller,Steve Miller,,,August 1976
Rock On,David Essex,August 1973,"Glam rock, rockabilly, dub, avant-pop",3:24,Columbia,David Essex,Jeff Wayne,,,August 1973
Rock the Boat,The Hues Corporation,May 1974,"Disco, soul, R&B",3:22,RCA Records,Wally Holmes,John Florez,,,May 1974
Rock with You,Michael Jackson,October 1979,"Disco, funk, pop",3:38,Epic,Rod Temperton,Quincy Jones,,,October 1979
Rock Your Baby,George McCrae,May 1974,Disco,3:14,"TK, Jay Boy, (UK), ","Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch",,,May 1974
Rolling in the Deep,Adele,29 November 2010,"Rhythm and blues, soul",3:48,"XL, Columbia","Adele Adkins, Paul Epworth",Paul Epworth,,,29 November 2010
Roll with It,Steve Winwood,May 1988,"Funk, R&B",4:30,Virgin,"Steve Winwood, Will Jennings, Holland-Dozier-Holland","Steve Winwood, , , Tom Lord-Alge",,,May 1988
Romantic,Karyn White,"August 23, 1991","Dance-pop, new jack swing",4:07,Warner Bros.,"Jimmy Jam and Terry Lewis, Karyn White",Jimmy Jam and Terry Lewis,,,23 08 1991
Roses Are Red,Bobby Vinton,"April 6, 1962",Traditional pop,2:38,Epic,"Paul Evans, Al Byron",Robert Morgan,,,06 04 1962
Royals,Lorde,3 June 2013,"Art pop, electropop, alternative pop",3:10,Universal,"Ella Yelich-O'Connor, Joel Little",Joel Little,,,3 June 2013
Ruby Tuesday,the Rolling Stones,13 January 1967,"Baroque pop, psychedelic pop, psychedelic soul",3:12,"Decca, (UK), London, (North America)",Jagger–Richards,Andrew Loog Oldham,,,13 January 1967
Rude Boy,Rihanna,"February 5, 2010","Reggae, dancehall, electro, -, R&B",3:43,"Def Jam, SRP","Robyn Fenty, Mikkel S, Eriksen, Tor Erik Hermansen, Ester Dean, Makeba Riddick, Rob Swire","Stargate, Travis George",,,05 02 2010
Rude,Magic!,"October 11, 2013",Reggae fusion,3:44,"Latium, RCA, Sony","Nasri Atweh, Adam Messinger, Mark Pellizzer, Ben Spivak, Alex Tanas",Adam Messinger,,,11 10 2013
Runaround Sue,Dion,September 1961,"Rock and roll, doo wop, pop",2:41,Laurie,"Dion DiMucci, Ernie Maresca",Gene Schwartz,,,September 1961
Runaway,Del Shannon,"February 18, 1961",Rock and Roll,2:20,BigTop,"Del Shannon, Max Crook",Harry Balk,,,18 02 1961
Running Bear,Johnny Preston,August 1959,"Rockabilly, rock and roll",2:38,"Mercury, ","J, P, Richardson",Bill Hall,,,August 1959
Running Scared,Roy Orbison,March 1961,"Orchestral pop, rock",2:10,"Monument, 438","""Running Scared, Roy Orbison, Joe Melson, Love Hurts, Boudleaux Bryant",Fred Foster,,,March 1961
Run It!,"Chris Brown, Juelz Santana","June 30, 2005",,3:50,Jive,"Scott Storch, Sean Garrett, LaRon James",Storch,,,30 06 2005
Rush Rush,Paula Abdul,"April 24, 1991","Pop, R&B",4:56,Virgin,Peter Lord,Peter Lord & Vernon Jeffrey Smith,,,24 04 1991
Sad!,XXXTentacion,"March 2, 2018","Emo rap, pop rap, alternative R&B",2:46,"Bad Vibes Forever, Caroline","Jahseh Onfroy, John Cunningham",John Cunningham,,,02 03 2018
Sad Eyes,Robert John,April 1979,"Soft rock, doo-wop",4:12,EMI America,Robert John,"George Tobin, in association with, Mike Piccirillo",,,April 1979
Sailing,Christopher Cross,"May 27, 1980","Soft rock, yacht rock",4:14,Warner Bros.,Christopher Cross,Michael Omartian,,,27 05 1980
Sara,Starship,December 1985,"Pop rock, soft rock",4:52,"Grunt, RCA",,"Peter Wolf, Jeremy Smith",Ina Wolf,"Peter Wolf, Ina Wolf",December 1985
Satisfied,Richard Marx,April 1989,"Rock, pop rock",4:12,EMI USA,Richard Marx,"Richard Marx, David Cole",,,April 1989
Saturday Night,Bay City Rollers,29 June 1973,"Bubblegum, power pop",2:56,Arista,"Bill Martin, Phil Coulter","Bill Martin, Phil Coulter",,,29 June 1973
Savage Love,"Jawsh 685, Jason Derulo",24 April 2020,"Siren jam, dancehall, reggaeton",2:51,Columbia,"Joshua Nanai, Jason Desrouleaux, Jacob Kasher Hindlin, Phil Greiss",Jawsh 685,,,24 April 2020
Savage,Megan Thee Stallion,"April 7, 2020",Hip hop,2:36,"1501 Certified, 300","Megan Pete, Anthony White, Bobby Session Jr.",J. White Did It,,,07 04 2020
Save the Best for Last,Vanessa Williams,"January 14, 1992","Pop, •, Soul, •, R&B",3:40,"Wing, Mercury","Phil Galdston, Wendy Waldman, Jon Lind",Keith Thomas,,,14 01 1992
Save the Last Dance for Me,The Drifters,August 1960,"Pop, soul",2:34,Atlantic,"Doc Pomus, Mort Shuman",Jerry Leiber and Mike Stoller,,,August 1960
Save Your Tears,the Weeknd,"August 9, 2020",Synth-pop,3:36,"XO, Republic","Abel Tesfaye, Ahmad Balshe, Jason Quenneville, Max Martin, Oscar Holter","Max Martin, Oscar Holter, The Weeknd",,,09 08 2020
Saving All My Love for You,Whitney Houston,"August 13, 1985","R&B, soul, quiet storm",3:58,Arista,"Michael Masser, Gerry Goffin",Michael Masser,,,13 08 1985
Say It Right,Nelly Furtado,31 October 2006,R&B,3:43,"Geffen, Mosley","Nelly Furtado, Timbaland, Nate Hills","Timbaland, Danja",,,31 October 2006
Say My Name,Destiny's Child,"October 14, 1999","R&B, pop",4:31,Columbia,"Rodney Jerkins, Fred Jerkins III, LaShawn Daniels, Beyoncé Knowles, LeToya Luckett, Kelly Rowland, LaTavia Roberson",Rodney Jerkins,,,14 10 1999
Say Say Say,"Paul McCartney, Michael Jackson",3 October 1983,"Post-disco, synth-funk, funk, -, pop, rock",3:555,"Parlophone, (UK), Columbia, (US)","Paul McCartney, Michael Jackson",George Martin,,,3 October 1983
Say So,Doja Cat,"January 17, 2020","Pop, disco, pop rap",3:58,"Kemosabe, RCA","Amala Dlamini, Lukasz Gottwald, Lydia Asrat, Jamie Parker, Onika Maraj-Petty, remix)",Tyson Trax,,,17 01 2020
"Say You, Say Me",Lionel Richie,"October 29, 1985",Pop,4:03,Motown,Lionel Richie,"Lionel Richie, James Anthony Carmichael",,,29 10 1985
Seasons Change,Exposé,November 1987,"Synth-pop, R&B, freestyle",3:58,Arista,Lewis Martineé,Lewis Martineé,,,November 1987
Seasons in the Sun,Jacques Brel,1961,Chanson,3:06,Philips,Jacques Brel,,,,1961
See You Again,"Wiz Khalifa, Charlie Puth","March 10, 2015","Hip hop, pop rap",3:50,Atlantic,"Cameron Thomaz, Charlie Puth, Justin Franks, Andrew Cedar","Charlie Puth, DJ Frank E, Andrew Cedar",,,10 03 2015
Separate Lives,"Phil Collins, Marilyn Martin",September 1985,Soft rock,4:06,"Atlantic, Virgin, WEA",Stephen Bishop,"Arif Mardin, Hugh Padgham, Phil Collins",,,September 1985
Set Adrift on Memory Bliss,P.M. Dawn,"August 5, 1991","Hip hop, psychedelic pop, dance, -, rap",4:10,"Gee Street, Island","Gary Kemp, Attrell Cordes",P.M. Dawn,,,05 08 1991
Set Fire to the Rain,Adele,4 July 2011,"Pop, power pop, pop-soul",4:02,"XL, Columbia","Adele Adkins, Fraser T, Smith",Fraser T. Smith,,,4 July 2011
Seven,"Jungkook, Latto","July 14, 2023","UK garage, pop",3:05,Big Hit,"Andrew Watt, Cirkut, Jon Bellion, Latto, Theron Makiel Thomas","Watt, Cirkut",,,14 07 2023
SexyBack,"Justin Timberlake, Timbaland, [1]","July 18, 2006","Electro-R&B, hip hop, disco",4:02,"Jive, Zomba","Justin Timberlake, Tim Mosley, Nate, Danja, Hills","Timbaland, Justin Timberlake, Nate ""Danja"" Hills",,,18 07 2006
Sexy and I Know It,LMFAO,"September 16, 2011","Dance, rave-pop, electro house",5:21,Interscope,"Stefan Kendal Gordy, David Jamahl Listenbee, Erin Beck, George M, Robertson, Kenneth Oliver","Audiobot, Redfoo, GoonRock",,,16 09 2011
Señorita,"Shawn Mendes, Camila Cabello","June 21, 2019",Latin pop,3:11,Island,,"Andrew Watt, Benny Blanco, Cashmere Cat","Shawn Mendes, Camila Cabello, Alexandra Tamposi","Andrew Wotman, Benjamin Levin, Alexandra Tamposi, Charlotte Aitchison, Jack Patterson, Magnus August Høiberg",21 06 2019
Shadow Dancing,Andy Gibb,April 1978,Disco,4:33,RSO Records,"Barry, Robin, Maurice Gibb, Andy Gibb",Gibb-Galuten-Richardson,,,April 1978
Shakedown,Bob Seger,"May 4, 1987","Hard rock, dance-rock",4:03,MCA,"Harold Faltermeyer, Keith Forsey, Bob Seger","Harold Faltermeyer, Keith Forsey",,,04 05 1987
Shake It Off,Taylor Swift,"August 19, 2014",Dance-pop,3:39,Big Machine,,"Max Martin, Shellback",Taylor Swift,"Taylor Swift, Max Martin, Shellback",19 08 2014
Shake Ya Tailfeather,"Nelly, P. Diddy, Murphy Lee","June 29, 2003",Hip hop,4:53,"Bad Boy, Universal","Cornell Haynes, Tohri Harper, Sean Combs, Varick Smith, Basement Beats, Adonis Shropshire","Nelly, & Jayson ""Koko"" Bridges",,,29 06 2003
Shake You Down,Gregory Abbott,August 1986,"R&B, smooth soul",4:05,Columbia,Gregory Abbott,Gregory Abbott,,,August 1986
Shallow,"Lady Gaga, Bradley Cooper","September 27, 2018","Rock, folk-pop, country",3:37,Interscope,"Lady Gaga, Andrew Wyatt, Anthony Rossomando, Mark Ronson","Lady Gaga, Benjamin Rice",,,27 09 2018
Shape of You,Ed Sheeran,6 January 2017,"Pop, dancehall, tropical house",3:54,"Asylum, Atlantic","Ed Sheeran, Johnny McDaid, Kandi Burruss, Kevin Briggs, Steve Mac, Tameka Cottle","Ed Sheeran, Steve Mac",,,6 January 2017
Sheila,Tommy Roe,1962,"Bubblegum pop, Rockabilly, Rock and Roll, Lubbock Sound",2:03,ABC-Paramount,Tommy Roe,,,,1962
Sherry,The Four Seasons,August 1962,"Doo-wop, pop, pop rock, R&B",2:32,Vee-Jay,Bob Gaudio,Bob Crewe,,,August 1962
She Ain't Worth It,"Glenn Medeiros, Bobby Brown","May 8, 1990",New jack swing,3:38,MCA,"Antonina Armato, Bobby Brown, Ian Prince","Denny Diante, , Ian Prince",,,08 05 1990
She Drives Me Crazy,Fine Young Cannibals,26 December 1988,"Dance-rock, funk, soul, pop",3:38,London Records,"Roland Gift, David Steele","David Z, Fine Young Cannibals",,,26 December 1988
She Loves You,the Beatles,23 August 1963,"Rock and roll, pop, rock",2:18,"Parlophone, (UK),  Swan, (US)",Lennon–McCartney,George Martin,,,23 August 1963
Shining Star,"Earth, Wind & Fire","January 21, 1975","Progressive soul, funk, disco",2:50,Columbia,"Maurice White, Larry Dunn, Philip Bailey","Maurice White, Charles Stepney",,,21 01 1975
Shout,Tears for Fears,23 November 1984,"New wave, synth-pop, pop rock",6:31,"Phonogram, Mercury","Roland Orzabal, Ian Stanley",Chris Hughes,,,23 November 1984
Show and Tell,Al Wilson,August 1973,"Soul, pop",3:30,Rocky Road,Jerry Fuller,,,,August 1973
Sicko Mode,"Travis Scott, Drake, [a]","August 21, 2018","Progressive rap, trap",5:12,"Cactus Jack, Grand Hustle, Epic","Jacques Webster II, Aubrey Graham, William Leonard Roberts II, Khalif Brown, John Hawkins, Chauncey Hollis, Ozan Yildirim, Cydel Young, Tim Gomringer, Kevin Gomringer, Mirsad Dervić, Rogét Chahayed, Brytavious Chambers, Michael Dean, Luther Campbell, Harry Wayne Casey, Richard Finch, Christopher Wallace, Osten Harvey, Bryan Higgins, Trevor Smith, James Jackson, Malik Taylor, Keith Elam, Christopher Martin, Kamaal Fareed, Ali Shaheed Muhammad, Tyrone Taylor, Fred Scruggs, Kirk Jones, Chylow Parker","Chahayed, Hit-Boy, Oz, Cubeatz, Tay Keith, Dean",,,21 08 2018
Silly Love Songs,Wings,1 April 1976,"Disco, funk",5:543,Capitol,"Paul McCartney, Linda McCartney",Paul McCartney,,,1 April 1976
